ID,State,Name,Category,Income,Qualification,Description,Type,Award Amount,Duration,Application Deadline,Eligibility Criteria
203,Odisha,Community Engineering Scholarship by JNU Research,General,1500000,Ph.D.,Community Engineering Scholarship by JNU Research provides financial assistance to students in General category. The award amount is INR 124506 per year.,International,INR 124506,1 years,5th September 2025,Applicant must have scored at least 55% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the SC category. Applicants must be residents of Telangana.
204,Kerala,Sustainability Medical Scholarship by JNU Research,SC,1500000,Diploma,Sustainability Medical Scholarship by JNU Research provides financial assistance to students in SC category. The award amount is INR 132008 per year.,Government,INR 132008,3 years,19th June 2025,Applicant must have scored at least 71% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the ST category. Applicants must be residents of Bihar.
205,Assam,Development Engineering Scholarship by Bharti Enterprises,all,500000,Graduation,Development Engineering Scholarship by Bharti Enterprises provides financial assistance to students in all category. The award amount is INR 9509 per year.,Private,INR 9509,1 years,4th September 2025,Applicant must have scored at least 70% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the Minority category. Applicants must be residents of Chhattisgarh.
206,Maharashtra,Research Economics Scholarship by Tata Foundation,General,1000000,Medical,Research Economics Scholarship by Tata Foundation provides financial assistance to students in General category. The award amount is INR 127936 per year.,NGO,INR 127936,4 years,26th September 2025,Applicant must have scored at least 64% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the Minority category. Applicants must be residents of Uttarakhand.
207,Karnataka,Youth Economics Scholarship by Ambani Institute,EWS,1500000,Engineering,Youth Economics Scholarship by Ambani Institute provides financial assistance to students in EWS category. The award amount is INR 109750 per year.,Corporate,INR 109750,3 years,13th September 2025,Applicant must have scored at least 67% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of Tamil Nadu.
208,Uttarakhand,Empowerment Arts Scholarship by Bharti Enterprises,SEBC,500000,Engineering,Empowerment Arts Scholarship by Bharti Enterprises provides financial assistance to students in SEBC category. The award amount is INR 73932 per year.,Private,INR 73932,1 years,30th July 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the OBC category. Applicants must be residents of Madhya Pradesh.
209,Punjab,Empowerment Engineering Scholarship by JNU Research,all,1000000,Engineering,Empowerment Engineering Scholarship by JNU Research provides financial assistance to students in all category. The award amount is INR 81971 per year.,NGO,INR 81971,4 years,2th June 2025,Applicant must have scored at least 86% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the ST category. Applicants must be residents of Karnataka.
210,Delhi,Sustainability Medical Scholarship by Indian Government,General,1000000,Engineering,Sustainability Medical Scholarship by Indian Government provides financial assistance to students in General category. The award amount is INR 38203 per year.,Corporate,INR 38203,4 years,19th September 2025,Applicant must have scored at least 90% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the all category. Applicants must be residents of Bihar.
211,Uttarakhand,Sustainability Law Scholarship by Indian Science Society,SC,1000000,Graduation,Sustainability Law Scholarship by Indian Science Society provides financial assistance to students in SC category. The award amount is INR 21546 per year.,International,INR 21546,1 years,23th September 2025,Applicant must have scored at least 61% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the ST category. Applicants must be residents of Madhya Pradesh.
212,Telangana,Research Economics Scholarship by Indian Government,EWS,1000000,Diploma,Research Economics Scholarship by Indian Government provides financial assistance to students in EWS category. The award amount is INR 39710 per year.,Corporate,INR 39710,4 years,2th September 2025,Applicant must have scored at least 74% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the General category. Applicants must be residents of Andhra Pradesh.
213,Madhya Pradesh,Leadership Entrepreneurship Scholarship by Bharti Enterprises,SC,1500000,HSC,Leadership Entrepreneurship Scholarship by Bharti Enterprises provides financial assistance to students in SC category. The award amount is INR 145110 per year.,Private,INR 145110,2 years,14th September 2025,Applicant must have scored at least 52% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SC category. Applicants must be residents of Tamil Nadu.
214,Haryana,Excellence Entrepreneurship Scholarship by JNU Research,ST,0,Medical,Excellence Entrepreneurship Scholarship by JNU Research provides financial assistance to students in ST category. The award amount is INR 42818 per year.,Government,INR 42818,1 years,16th June 2025,Applicant must have scored at least 54% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the OBC category. Applicants must be residents of Bihar.
215,Andhra Pradesh,Community Law Scholarship by Indian Science Society,SEBC,500000,Diploma,Community Law Scholarship by Indian Science Society provides financial assistance to students in SEBC category. The award amount is INR 14091 per year.,NGO,INR 14091,2 years,25th June 2025,Applicant must have scored at least 90% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the OBC category. Applicants must be residents of Punjab.
216,Uttarakhand,Youth Arts Scholarship by Ambani Institute,General,250000,HSC,Youth Arts Scholarship by Ambani Institute provides financial assistance to students in General category. The award amount is INR 19315 per year.,Government,INR 19315,3 years,8th June 2025,Applicant must have scored at least 62% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the OBC category. Applicants must be residents of Uttarakhand.
217,Karnataka,Innovation Entrepreneurship Scholarship by Mahatma Gandhi Trust,all,1500000,Post-Graduation,Innovation Entrepreneurship Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 13168 per year.,NGO,INR 13168,4 years,18th September 2025,Applicant must have scored at least 90% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SC category. Applicants must be residents of Uttar Pradesh.
218,West Bengal,Research Agriculture Scholarship by Ambani Institute,Minority,1500000,HSC,Research Agriculture Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 132973 per year.,Private,INR 132973,2 years,20th June 2025,Applicant must have scored at least 87% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the EWS category. Applicants must be residents of Haryana.
219,Delhi,Merit STEM Scholarship by JNU Research,Minority,1000000,Post-Graduation,Merit STEM Scholarship by JNU Research provides financial assistance to students in Minority category. The award amount is INR 145831 per year.,Corporate,INR 145831,2 years,20th July 2025,Applicant must have scored at least 60% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the OBC category. Applicants must be residents of West Bengal.
220,Tamil Nadu,Leadership Social Sciences Scholarship by Mahatma Gandhi Trust,EWS,500000,Engineering,Leadership Social Sciences Scholarship by Mahatma Gandhi Trust provides financial assistance to students in EWS category. The award amount is INR 22839 per year.,International,INR 22839,2 years,30th August 2025,Applicant must have scored at least 50% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the all category. Applicants must be residents of Assam.
221,Uttar Pradesh,Empowerment STEM Scholarship by Indian Government,General,250000,HSC,Empowerment STEM Scholarship by Indian Government provides financial assistance to students in General category. The award amount is INR 102812 per year.,Government,INR 102812,1 years,22th July 2025,Applicant must have scored at least 62% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the ST category. Applicants must be residents of Haryana.
222,Assam,Diversity Engineering Scholarship by Tata Foundation,OBC,250000,Engineering,Diversity Engineering Scholarship by Tata Foundation provides financial assistance to students in OBC category. The award amount is INR 33668 per year.,Corporate,INR 33668,4 years,12th July 2025,Applicant must have scored at least 64% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the General category. Applicants must be residents of West Bengal.
223,Andhra Pradesh,Innovation Agriculture Scholarship by Indian Education Trust,OBC,250000,Post-Graduation,Innovation Agriculture Scholarship by Indian Education Trust provides financial assistance to students in OBC category. The award amount is INR 7860 per year.,Government,INR 7860,3 years,12th September 2025,Applicant must have scored at least 71% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the OBC category. Applicants must be residents of Haryana.
224,Kerala,Global Social Sciences Scholarship by IIT Foundation,Minority,1000000,Diploma,Global Social Sciences Scholarship by IIT Foundation provides financial assistance to students in Minority category. The award amount is INR 16564 per year.,Government,INR 16564,2 years,24th September 2025,Applicant must have scored at least 59% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the ST category. Applicants must be residents of Punjab.
225,Odisha,Global Agriculture Scholarship by Indian Government,SEBC,500000,HSC,Global Agriculture Scholarship by Indian Government provides financial assistance to students in SEBC category. The award amount is INR 75387 per year.,NGO,INR 75387,2 years,1th June 2025,Applicant must have scored at least 89% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the General category. Applicants must be residents of Andhra Pradesh.
226,Telangana,Development Economics Scholarship by Indian Education Trust,OBC,0,Diploma,Development Economics Scholarship by Indian Education Trust provides financial assistance to students in OBC category. The award amount is INR 93262 per year.,International,INR 93262,2 years,19th September 2025,Applicant must have scored at least 71% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the OBC category. Applicants must be residents of Tamil Nadu.
227,Haryana,Leadership Literature Scholarship by Indian Education Trust,all,250000,Medical,Leadership Literature Scholarship by Indian Education Trust provides financial assistance to students in all category. The award amount is INR 113206 per year.,NGO,INR 113206,3 years,24th August 2025,Applicant must have scored at least 70% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the all category. Applicants must be residents of Uttarakhand.
228,Andhra Pradesh,Innovation Entrepreneurship Scholarship by Indian Education Trust,SEBC,750000,Engineering,Innovation Entrepreneurship Scholarship by Indian Education Trust provides financial assistance to students in SEBC category. The award amount is INR 135101 per year.,NGO,INR 135101,1 years,15th June 2025,Applicant must have scored at least 88% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SC category. Applicants must be residents of Uttarakhand.
229,Odisha,Youth Economics Scholarship by JNU Research,SEBC,750000,Post-Graduation,Youth Economics Scholarship by JNU Research provides financial assistance to students in SEBC category. The award amount is INR 6691 per year.,Government,INR 6691,4 years,26th July 2025,Applicant must have scored at least 71% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the OBC category. Applicants must be residents of Delhi.
230,Delhi,Research Engineering Scholarship by JNU Research,ST,1000000,Diploma,Research Engineering Scholarship by JNU Research provides financial assistance to students in ST category. The award amount is INR 90910 per year.,Government,INR 90910,1 years,5th September 2025,Applicant must have scored at least 74% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the Minority category. Applicants must be residents of Assam.
231,Rajasthan,Community Engineering Scholarship by IIT Foundation,SC,1500000,Graduation,Community Engineering Scholarship by IIT Foundation provides financial assistance to students in SC category. The award amount is INR 111052 per year.,NGO,INR 111052,1 years,8th July 2025,Applicant must have scored at least 74% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the ST category. Applicants must be residents of Odisha.
232,Assam,Empowerment Agriculture Scholarship by Indian Government,Minority,0,Graduation,Empowerment Agriculture Scholarship by Indian Government provides financial assistance to students in Minority category. The award amount is INR 120516 per year.,NGO,INR 120516,1 years,24th September 2025,Applicant must have scored at least 88% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Gujarat.
233,Tamil Nadu,Merit Entrepreneurship Scholarship by Mahatma Gandhi Trust,SC,500000,Post-Graduation,Merit Entrepreneurship Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SC category. The award amount is INR 90521 per year.,Private,INR 90521,1 years,21th June 2025,Applicant must have scored at least 62% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the General category. Applicants must be residents of Rajasthan.
234,Uttarakhand,Community Engineering Scholarship by Indian Government,SEBC,750000,Ph.D.,Community Engineering Scholarship by Indian Government provides financial assistance to students in SEBC category. The award amount is INR 29601 per year.,Corporate,INR 29601,2 years,8th June 2025,Applicant must have scored at least 65% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the Minority category. Applicants must be residents of Uttarakhand.
235,Tamil Nadu,Development STEM Scholarship by Dr. APJ Abdul Kalam Foundation,General,250000,Medical,Development STEM Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in General category. The award amount is INR 146430 per year.,Corporate,INR 146430,3 years,1th September 2025,Applicant must have scored at least 81% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the all category. Applicants must be residents of Uttar Pradesh.
236,Tamil Nadu,Development Engineering Scholarship by Ambani Institute,Minority,1000000,Graduation,Development Engineering Scholarship by Ambani Institute provides financial assistance to students in Minority category. The award amount is INR 123835 per year.,Government,INR 123835,3 years,2th July 2025,Applicant must have scored at least 72% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the all category. Applicants must be residents of Madhya Pradesh.
237,Rajasthan,Development Medical Scholarship by IIT Foundation,EWS,750000,Medical,Development Medical Scholarship by IIT Foundation provides financial assistance to students in EWS category. The award amount is INR 134389 per year.,Corporate,INR 134389,1 years,2th June 2025,Applicant must have scored at least 50% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the OBC category. Applicants must be residents of Chhattisgarh.
238,Uttarakhand,Merit Agriculture Scholarship by IIT Foundation,all,250000,Graduation,Merit Agriculture Scholarship by IIT Foundation provides financial assistance to students in all category. The award amount is INR 59017 per year.,International,INR 59017,1 years,20th August 2025,Applicant must have scored at least 64% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the Minority category. Applicants must be residents of Andhra Pradesh.
239,Uttarakhand,Excellence Medical Scholarship by Indian Science Society,ST,750000,Engineering,Excellence Medical Scholarship by Indian Science Society provides financial assistance to students in ST category. The award amount is INR 62955 per year.,Government,INR 62955,1 years,4th July 2025,Applicant must have scored at least 88% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the General category. Applicants must be residents of Andhra Pradesh.
240,Jharkhand,Research Medical Scholarship by Indian Science Society,SC,1000000,Post-Graduation,Research Medical Scholarship by Indian Science Society provides financial assistance to students in SC category. The award amount is INR 133991 per year.,Government,INR 133991,3 years,16th September 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the SC category. Applicants must be residents of Chhattisgarh.
241,Kerala,Excellence Engineering Scholarship by Mahatma Gandhi Trust,General,0,Post-Graduation,Excellence Engineering Scholarship by Mahatma Gandhi Trust provides financial assistance to students in General category. The award amount is INR 104457 per year.,Corporate,INR 104457,4 years,20th June 2025,Applicant must have scored at least 80% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the all category. Applicants must be residents of Tamil Nadu.
242,Tamil Nadu,Community Agriculture Scholarship by Indian Government,EWS,500000,Engineering,Community Agriculture Scholarship by Indian Government provides financial assistance to students in EWS category. The award amount is INR 38634 per year.,NGO,INR 38634,1 years,15th July 2025,Applicant must have scored at least 71% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the EWS category. Applicants must be residents of Jharkhand.
243,Jharkhand,Research Agriculture Scholarship by Indian Science Society,all,1500000,Diploma,Research Agriculture Scholarship by Indian Science Society provides financial assistance to students in all category. The award amount is INR 32867 per year.,Private,INR 32867,2 years,26th August 2025,Applicant must have scored at least 70% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the EWS category. Applicants must be residents of Telangana.
244,Delhi,Global Economics Scholarship by Tata Foundation,OBC,1500000,Graduation,Global Economics Scholarship by Tata Foundation provides financial assistance to students in OBC category. The award amount is INR 96875 per year.,Private,INR 96875,1 years,2th September 2025,Applicant must have scored at least 86% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the Minority category. Applicants must be residents of Kerala.
245,Odisha,Development Arts Scholarship by Mahatma Gandhi Trust,all,500000,HSC,Development Arts Scholarship by Mahatma Gandhi Trust provides financial assistance to students in all category. The award amount is INR 95631 per year.,Corporate,INR 95631,2 years,6th August 2025,Applicant must have scored at least 58% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Bihar.
246,Chhattisgarh,Merit Engineering Scholarship by Tata Foundation,OBC,250000,Engineering,Merit Engineering Scholarship by Tata Foundation provides financial assistance to students in OBC category. The award amount is INR 137967 per year.,International,INR 137967,3 years,18th July 2025,Applicant must have scored at least 79% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of Madhya Pradesh.
247,Uttar Pradesh,Innovation Social Sciences Scholarship by Indian Government,all,1500000,Engineering,Innovation Social Sciences Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 110828 per year.,NGO,INR 110828,3 years,10th July 2025,Applicant must have scored at least 87% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the EWS category. Applicants must be residents of Tamil Nadu.
248,Tamil Nadu,Development Medical Scholarship by Tata Foundation,ST,750000,Engineering,Development Medical Scholarship by Tata Foundation provides financial assistance to students in ST category. The award amount is INR 86167 per year.,International,INR 86167,3 years,9th August 2025,Applicant must have scored at least 74% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the Minority category. Applicants must be residents of Gujarat.
249,Karnataka,Research Law Scholarship by Indian Education Trust,Minority,500000,Graduation,Research Law Scholarship by Indian Education Trust provides financial assistance to students in Minority category. The award amount is INR 13248 per year.,Private,INR 13248,3 years,23th July 2025,Applicant must have scored at least 64% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the EWS category. Applicants must be residents of Jharkhand.
250,Andhra Pradesh,Community Agriculture Scholarship by IIT Foundation,OBC,250000,Medical,Community Agriculture Scholarship by IIT Foundation provides financial assistance to students in OBC category. The award amount is INR 26189 per year.,Private,INR 26189,1 years,28th September 2025,Applicant must have scored at least 62% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SC category. Applicants must be residents of Telangana.
251,Chhattisgarh,Merit STEM Scholarship by Ambani Institute,SEBC,0,Diploma,Merit STEM Scholarship by Ambani Institute provides financial assistance to students in SEBC category. The award amount is INR 84671 per year.,NGO,INR 84671,4 years,13th July 2025,Applicant must have scored at least 55% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the OBC category. Applicants must be residents of Andhra Pradesh.
252,Gujarat,Community Engineering Scholarship by Indian Government,EWS,500000,HSC,Community Engineering Scholarship by Indian Government provides financial assistance to students in EWS category. The award amount is INR 29780 per year.,Corporate,INR 29780,1 years,7th July 2025,Applicant must have scored at least 81% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the SC category. Applicants must be residents of Karnataka.
253,Bihar,Empowerment Economics Scholarship by Bharti Enterprises,OBC,500000,Diploma,Empowerment Economics Scholarship by Bharti Enterprises provides financial assistance to students in OBC category. The award amount is INR 24238 per year.,NGO,INR 24238,1 years,23th July 2025,Applicant must have scored at least 58% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Punjab.
254,Chhattisgarh,Research Economics Scholarship by Ambani Institute,SC,0,Ph.D.,Research Economics Scholarship by Ambani Institute provides financial assistance to students in SC category. The award amount is INR 136443 per year.,Private,INR 136443,4 years,4th July 2025,Applicant must have scored at least 70% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the Minority category. Applicants must be residents of West Bengal.
255,Madhya Pradesh,Community Medical Scholarship by Mahatma Gandhi Trust,SEBC,750000,Graduation,Community Medical Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SEBC category. The award amount is INR 126313 per year.,International,INR 126313,1 years,28th July 2025,Applicant must have scored at least 76% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the OBC category. Applicants must be residents of Madhya Pradesh.
256,Bihar,Diversity Engineering Scholarship by Dr. APJ Abdul Kalam Foundation,General,1000000,Graduation,Diversity Engineering Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in General category. The award amount is INR 124958 per year.,Corporate,INR 124958,4 years,20th June 2025,Applicant must have scored at least 73% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Jharkhand.
257,Assam,Global Economics Scholarship by Mahatma Gandhi Trust,SC,1000000,Diploma,Global Economics Scholarship by Mahatma Gandhi Trust provides financial assistance to students in SC category. The award amount is INR 25850 per year.,NGO,INR 25850,4 years,8th July 2025,Applicant must have scored at least 59% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Engineering. Preference will be given to students belonging to the OBC category. Applicants must be residents of Karnataka.
258,Telangana,Merit Arts Scholarship by Indian Education Trust,SC,0,Engineering,Merit Arts Scholarship by Indian Education Trust provides financial assistance to students in SC category. The award amount is INR 73553 per year.,Private,INR 73553,3 years,19th September 2025,Applicant must have scored at least 78% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Telangana.
259,Andhra Pradesh,Innovation Law Scholarship by IIT Foundation,SEBC,750000,HSC,Innovation Law Scholarship by IIT Foundation provides financial assistance to students in SEBC category. The award amount is INR 25254 per year.,International,INR 25254,1 years,8th August 2025,Applicant must have scored at least 83% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Rajasthan.
260,Jharkhand,Sustainability Agriculture Scholarship by Indian Government,Minority,750000,Post-Graduation,Sustainability Agriculture Scholarship by Indian Government provides financial assistance to students in Minority category. The award amount is INR 14700 per year.,Private,INR 14700,4 years,9th July 2025,Applicant must have scored at least 77% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the all category. Applicants must be residents of Rajasthan.
261,Punjab,Diversity Engineering Scholarship by Indian Education Trust,General,0,Medical,Diversity Engineering Scholarship by Indian Education Trust provides financial assistance to students in General category. The award amount is INR 6523 per year.,International,INR 6523,2 years,14th June 2025,Applicant must have scored at least 85% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the OBC category. Applicants must be residents of Andhra Pradesh.
262,Assam,Youth STEM Scholarship by Tata Foundation,SC,0,HSC,Youth STEM Scholarship by Tata Foundation provides financial assistance to students in SC category. The award amount is INR 74715 per year.,Corporate,INR 74715,3 years,30th September 2025,Applicant must have scored at least 57% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of Uttar Pradesh.
263,Delhi,Sustainability Medical Scholarship by Dr. APJ Abdul Kalam Foundation,EWS,250000,Graduation,Sustainability Medical Scholarship by Dr. APJ Abdul Kalam Foundation provides financial assistance to students in EWS category. The award amount is INR 98954 per year.,Private,INR 98954,3 years,15th June 2025,Applicant must have scored at least 59% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SC category. Applicants must be residents of Karnataka.
264,Rajasthan,Global Engineering Scholarship by IIT Foundation,General,1500000,HSC,Global Engineering Scholarship by IIT Foundation provides financial assistance to students in General category. The award amount is INR 8933 per year.,NGO,INR 8933,4 years,24th June 2025,Applicant must have scored at least 60% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the General category. Applicants must be residents of Maharashtra.
265,Maharashtra,Leadership Arts Scholarship by Ambani Institute,SC,750000,Ph.D.,Leadership Arts Scholarship by Ambani Institute provides financial assistance to students in SC category. The award amount is INR 144453 per year.,Corporate,INR 144453,4 years,14th September 2025,Applicant must have scored at least 64% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the OBC category. Applicants must be residents of Rajasthan.
266,Karnataka,Empowerment Medical Scholarship by Indian Education Trust,ST,1000000,Graduation,Empowerment Medical Scholarship by Indian Education Trust provides financial assistance to students in ST category. The award amount is INR 147574 per year.,NGO,INR 147574,3 years,22th August 2025,Applicant must have scored at least 50% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the SEBC category. Applicants must be residents of Odisha.
