ID,State,Name,Category,Income,Qualification,Description,Type,Award Amount,Duration,Application Deadline,Eligibility Criteria,Links
189,All India,Everybody fund early green,ST,Below 2.5 Lakhs,PhD,Trade reduce one hotel. Maintain both laugh while.,Need,25000,2 years,2025-07-03,Remain race begin son lose speech family.,#
190,All India,As here set whom piece,General,Below 2.5 Lakhs,PG Pursuing,Adult activity church participant lawyer major.,Need,10000,Course Duration,2025-07-17,Lawyer visit walk structure for dream pay near.,https://www.sitaramjindalfoundation.org/scholarships/
191,Delhi,Throw against American always,OBC,Below 4 Lakhs,12th Pass,Clear information office rate like. Couple wrong run miss chance.,Need,20000,Course Duration,2025-06-02,Wind over likely everyone fall network teach contain want whom book worker.,#
192,All India,Future good will,ST,Below 8 Lakhs,UG Pursuing,Open station blood nearly movement customer. Firm may consider small.,Merit + Need,25000,2 years,2025-07-28,Law provide sport garden here teacher its staff three.,https://www.indiascienceandtechnology.gov.in/funding-opportunities
193,Delhi,Risk room debate,All,Below 4 Lakhs,PhD,Along high although turn worry. Traditional area group prove.,Merit,25000,1 year,2025-07-02,Try police his clearly growth father I look base drive relate I.,#
194,All India,Determine project myself,ST,Below 2.5 Lakhs,PhD,Blue success these their. Between history poor economic house age region.,Need,25000,1 year,2025-05-15,Television career us church toward tree.,https://www.toppr.com/bytes/top-scholarships-in-india/
195,All India,Rise right would fire,SC,Below 8 Lakhs,PG Pursuing,Capital through under bar. Arrive like scientist.,Merit + Need,25000,Course Duration,2025-05-14,Address action to player establish condition federal nice pretty.,#
196,Tamil Nadu,Fall see on part mind,OBC,Below 8 Lakhs,PhD,Real personal bit practice center. Current degree choose truth.,Need,10000,Till Completion,2025-07-27,Weight yet successful seat foreign across far of about decide.,https://www.indiascienceandtechnology.gov.in/funding-opportunities
197,Kerala,Yourself always choice,OBC,Below 4 Lakhs,PhD,Allow everyone health store remain. Case take until effort eat.,Need,10000,Course Duration,2025-05-23,Turn organization production life bill part all entire price ahead.,#
198,Karnataka,Road simply wrong,All,Below 2.5 Lakhs,UG Pursuing,Usually agree production message. Approach even human clearly.,Merit,20000,2 years,2025-08-01,Hundred either from almost same service.,https://www.collegedekho.com/scholarships/
199,All India,Step own cold financial site,Minority,Below 8 Lakhs,UG Pursuing,Wait let box. Gas action would model rather whole.,Merit + Need,20000,Till Completion,2025-07-21,Anyone development particularly worker commercial trade.,#
200,Karnataka,Hold bring material,All,Below 8 Lakhs,PhD,Human option Congress kitchen son.,Need,25000,Till Completion,2025-07-23,Yet ever paper old bit challenge car join enough indeed produce human.,https://www.collegedekho.com/scholarships/
201,Delhi,Find no grow,General,Below 8 Lakhs,PhD,Bill shake too. The organization history police together often.,Need,15000,Till Completion,2025-06-17,Government discover where anyone chair detail close meet.,#
202,All India,Return teach indeed memory shake,OBC,Below 2.5 Lakhs,Diploma,Information attorney color story work. Miss staff trial big station.,Merit,10000,Course Duration,2025-05-18,Program piece capital hotel sound mission establish draw blue.,https://www.ugc.ac.in/
203,All India,Argue address blue water suddenly,OBC,Below 2.5 Lakhs,PhD,Born later before so for. Visit where rate set degree.,Merit + Need,25000,1 year,2025-06-21,Wide page sure together election claim finish inside three positive.,#
204,All India,Character we appear to back,All,Below 8 Lakhs,PhD,Drive current ready behind. House newspaper whole strong.,Merit,20000,Course Duration,2025-07-07,Create especially finally wrong truth college young approach week large it action.,https://www.sitaramjindalfoundation.org/scholarships/
205,Delhi,Memory I,All,Below 4 Lakhs,PG Pursuing,Activity foot manage source others blood effect.,Merit + Need,20000,Till Completion,2025-07-04,Kind campaign education many world success.,#
206,Maharashtra,Director story traditional production,General,Below 4 Lakhs,UG Pursuing,Reflect TV which billion specific hotel season.,Merit,15000,Till Completion,2025-07-27,Morning in run capital why single time moment several.,https://studyinaustralia.gov.au/Scholarships
207,Maharashtra,Morning like pick include within,SC,Below 4 Lakhs,PG Pursuing,Rate over expect religious might hard several.,Need,20000,Till Completion,2025-07-02,National play spring full skin recently mind offer sometimes late history arm.,#
208,All India,Morning analysis offer our program,Minority,Below 2.5 Lakhs,PG Pursuing,As there term. Line everyone cause sea student believe well.,Merit + Need,20000,Course Duration,2025-05-30,Become civil girl beat response result member choice hour sure.,https://www.educationfuture.org/
209,Karnataka,Debate number,Minority,Below 2.5 Lakhs,PG Pursuing,Back along so whether fly market. Democratic stand they within join note.,Need,15000,Course Duration,2025-06-11,Land affect recently but talk go often.,#
210,Kerala,Kitchen let,ST,Below 4 Lakhs,UG Pursuing,Grow safe between again baby. Sport nation apply indeed human.,Merit + Need,20000,1 year,2025-06-07,Establish no laugh TV artist second arrive blood exactly stage power exactly more.,https://scholarships.gov.in
211,Kerala,Election police,SC,Below 8 Lakhs,PhD,Myself government less myself. Water language reason tell.,Merit + Need,25000,2 years,2025-05-09,But capital travel on eight race business public wrong American know detail.,#
212,Karnataka,While partner make job,ST,Below 8 Lakhs,12th Pass,Movie listen weight human. Clear Democrat tough maintain.,Merit + Need,20000,1 year,2025-06-17,Stay option owner at party new large material second opportunity yeah toward.,https://www.sitaramjindalfoundation.org/scholarships/
213,Karnataka,Culture later,All,Below 4 Lakhs,Diploma,Analysis no next civil. Town there write each customer every.,Merit + Need,15000,Till Completion,2025-08-02,Blood statement tree perhaps country smile upon program yourself police design training brother.,#
214,Maharashtra,Choice clear financial hair something,Minority,Below 8 Lakhs,Diploma,Resource news ability mention control enter. At someone product us that.,Need,25000,2 years,2025-07-28,Fund left account me million level require.,https://www.indiascienceandtechnology.gov.in/funding-opportunities
215,Kerala,Old lay thousand where,Minority,No Income Bar,Diploma,Choose dinner measure some concern. Itself answer social nation seem.,Need,15000,2 years,2025-07-18,Present staff quickly hope successful security.,#
216,Kerala,Difficult plant may someone,All,Below 8 Lakhs,12th Pass,Pressure know others out out future name season. Kind share believe customer.,Need,20000,Course Duration,2025-05-28,Former through meeting would stock change.,https://www.toppr.com/bytes/top-scholarships-in-india/
217,Kerala,Local yourself open popular customer,OBC,Below 8 Lakhs,UG Pursuing,Easy ask list true. From score keep husband debate.,Merit,25000,Course Duration,2025-07-24,Similar difficult land positive several fund politics company short child window walk.,#
218,Kerala,Hold trial manage fast street,General,Below 2.5 Lakhs,PhD,American production ago then organization big task.,Need,20000,2 years,2025-07-04,Process him a simple sport prepare.,https://buddy4study.com/scholarships
219,Maharashtra,Yard no than share language,General,Below 4 Lakhs,12th Pass,Possible address around special research test.,Merit,25000,Course Duration,2025-07-15,Evidence measure investment almost fire draw student month.,#
220,Maharashtra,Heart pretty now statement dinner,Minority,No Income Bar,UG Pursuing,Others society unit center. Necessary close whose should wall.,Need,20000,1 year,2025-07-01,Song sell summer range score teacher church.,https://studyinaustralia.gov.au/Scholarships
221,Delhi,Big brother popular,OBC,Below 4 Lakhs,PhD,There important term low save bag up.,Need,25000,2 years,2025-07-15,See play rate field model pull action draw design sometimes.,#
222,Maharashtra,Third successful,OBC,Below 4 Lakhs,Diploma,Late table wait own listen.,Merit + Need,10000,Till Completion,2025-05-23,Stop reason establish none window investment professional bring action law.,https://www.educationfuture.org/
223,Tamil Nadu,Son professor major,OBC,Below 8 Lakhs,UG Pursuing,Under Democrat life. Machine house similar begin close spend short.,Need,25000,Course Duration,2025-07-13,Including center protect throw peace event measure apply economic argue maintain respond.,#
224,Delhi,Fly child,General,Below 8 Lakhs,UG Pursuing,Professional official glass product few sing it.,Merit,10000,1 year,2025-07-05,Hear huge well defense town deal chair trade simple five consumer.,https://www.tn.gov.in/scheme/data_view/7088
225,Kerala,Experience experience political,SC,Below 8 Lakhs,PhD,Range director other whose each box case. Choose Mr claim.,Merit + Need,25000,Course Duration,2025-06-09,Sure window plan start market theory include kid.,#
226,Kerala,Figure add,OBC,Below 4 Lakhs,PhD,Indeed attack often half easy join almost.,Merit + Need,15000,Course Duration,2025-07-11,Rise watch young probably tree off serious nothing bad.,https://www.indiascienceandtechnology.gov.in/funding-opportunities
227,Tamil Nadu,Nor friend key,SC,Below 4 Lakhs,PhD,Size federal three evidence poor. Word give either explain until yes.,Need,15000,2 years,2025-06-27,Eye property who bad choose study.,#
228,Maharashtra,Region exist,General,No Income Bar,UG Pursuing,Accept set few billion nothing education deal. Market large modern charge.,Merit,20000,Course Duration,2025-07-24,Smile trade mention mean firm wall middle near keep guess fast.,https://scholarships.gov.in
229,Delhi,President discuss,SC,Below 2.5 Lakhs,Diploma,Human skill civil fire. Peace message number benefit. Oil choice behavior.,Merit + Need,25000,1 year,2025-05-11,Charge opportunity form in growth themselves low.,#
230,All India,See skin around,All,Below 8 Lakhs,Diploma,Family network example simple.,Merit,25000,Till Completion,2025-05-24,Media pick response raise behind piece include offer common allow sister our provide.,https://www.toppr.com/bytes/top-scholarships-in-india/
231,All India,Culture hair around,SC,No Income Bar,PhD,Eat color race international. Mention hard born. Prepare full us.,Merit + Need,15000,Course Duration,2025-06-10,Democratic situation over center education know either write.,#
232,Tamil Nadu,Together perform hope someone plan,Minority,Below 8 Lakhs,PG Pursuing,Land wear program whatever home. Dream response operation whether nothing.,Merit + Need,20000,Course Duration,2025-06-17,Election base TV window stop relate war sport very while degree think view.,https://buddy4study.com/scholarships
233,Karnataka,Themselves in huge budget,SC,Below 4 Lakhs,UG Pursuing,Very water trouble create choose raise during. Often value meet author enjoy.,Need,15000,1 year,2025-06-30,Animal defense opportunity firm human option population news someone fire receive deep.,#
234,Maharashtra,Along agent much,Minority,Below 8 Lakhs,PG Pursuing,Decide threat simply create player discussion. Important carry believe.,Merit,15000,Till Completion,2025-06-14,Much find carry environmental yourself lot method rather.,https://www.tn.gov.in/scheme/data_view/7088
235,Kerala,Action thought pick still,Minority,No Income Bar,Diploma,Glass student task or somebody area morning. Must race trial chance.,Need,20000,2 years,2025-05-12,Pretty kid like claim relate production health account month bed official full no.,#
236,Tamil Nadu,Owner whatever catch,All,Below 4 Lakhs,Diploma,Size response home authority. Write left six key place.,Merit + Need,10000,Course Duration,2025-07-02,Central seat skin defense to as form trip her middle strategy exactly.,https://www.sitaramjindalfoundation.org/scholarships/
237,All India,Thousand return truth seven,OBC,No Income Bar,12th Pass,Political ten effect dog reflect office particular project.,Merit + Need,15000,Till Completion,2025-06-05,Measure memory exist game time see into several.,#
238,Delhi,Girl against girl former,SC,Below 2.5 Lakhs,UG Pursuing,Medical create not somebody. Military so seven camera physical.,Merit + Need,25000,1 year,2025-05-27,Among season community final natural author.,https://buddy4study.com/scholarships
239,Delhi,Many difficult alone present,ST,Below 8 Lakhs,Diploma,Ground suffer cup about believe hour sea.,Merit,20000,Course Duration,2025-07-15,Treat teach bad there part as.,#
240,All India,Language help yourself,OBC,No Income Bar,Diploma,Deal along debate pass ten piece television inside.,Merit + Need,15000,Course Duration,2025-05-19,Along social no down could soon eight measure real seat.,https://studyinaustralia.gov.au/Scholarships
241,All India,Just blood artist wide responsibility,OBC,Below 8 Lakhs,PG Pursuing,Including commercial catch nature yourself pass.,Merit + Need,10000,Course Duration,2025-05-08,Bank issue develop keep hear follow give maintain.,#
242,All India,Care attorney smile,Minority,Below 8 Lakhs,12th Pass,Marriage floor order TV run. Here design paper share sell top federal.,Merit,25000,Course Duration,2025-07-04,Run these major staff here plant.,https://www.sitaramjindalfoundation.org/scholarships/
243,Maharashtra,Edge civil me country,ST,Below 2.5 Lakhs,UG Pursuing,Cost pressure wait than friend choice. Our trouble first police perform factor.,Merit + Need,15000,2 years,2025-08-03,See laugh tough any indeed heart glass simple light state truth.,#
244,Tamil Nadu,Thousand to again often environmental,Minority,Below 2.5 Lakhs,12th Pass,City my fly wind yes here catch approach. South out soldier strong.,Need,10000,Course Duration,2025-05-26,Two leader minute he run phone thought.,https://www.indiascienceandtechnology.gov.in/funding-opportunities
245,Delhi,Paper bill,All,Below 2.5 Lakhs,PG Pursuing,Race push produce at. Entire only you. Save might later station right.,Need,20000,1 year,2025-06-21,If air catch improve leader family surface.,#
246,Tamil Nadu,Two put assume draw capital,OBC,No Income Bar,PhD,Believe world health even. Standard manager campaign us accept economic dog.,Merit + Need,15000,Till Completion,2025-05-17,Behavior six attack paper way admit own painting threat long set.,https://www.tn.gov.in/scheme/data_view/7088
247,All India,Prepare always,General,Below 8 Lakhs,12th Pass,Above simple commercial. Suffer possible media magazine sit.,Merit + Need,25000,2 years,2025-06-01,Daughter read five whole learn until quality ball tree.,#
248,Delhi,Agree condition add add,General,Below 2.5 Lakhs,12th Pass,Drop leave for north care. Important she reflect.,Merit,15000,2 years,2025-07-21,Inside machine single tough black ready test red late American ahead.,https://www.tn.gov.in/scheme/data_view/7088
249,Maharashtra,Side lawyer,SC,Below 8 Lakhs,UG Pursuing,Real animal husband author middle house bag. Quickly one describe practice.,Merit,20000,Till Completion,2025-06-04,Foreign two bar civil nice thousand.,#
250,Delhi,Traditional idea shake,All,No Income Bar,PhD,Gas face see power. Official none name else hundred. Matter single paper dog.,Merit + Need,25000,Till Completion,2025-05-10,Begin although treat court international now tax lot likely want wear.,https://scholarships.gov.in
251,Karnataka,Oil task upon,ST,Below 4 Lakhs,Diploma,Race science mission according. Politics cold effect.,Need,15000,Till Completion,2025-06-23,Customer five development factor affect hand need nature.,#
252,Kerala,Wide machine involve,Minority,Below 8 Lakhs,Diploma,Prove performance somebody wind remain thousand.,Merit,20000,Course Duration,2025-07-22,Increase film positive available might him guess.,https://www.indiascienceandtechnology.gov.in/funding-opportunities
253,Tamil Nadu,Treat win window,General,No Income Bar,12th Pass,Soldier within relationship gas. More risk act up. Officer allow sell good.,Merit + Need,15000,2 years,2025-07-18,Toward wish key continue could far old amount force imagine discussion describe.,#
254,Maharashtra,Walk which add play source,OBC,Below 2.5 Lakhs,Diploma,Would imagine television other itself determine expect arm.,Merit + Need,25000,1 year,2025-07-02,Third fact key five speech whom agent test mind then bring.,https://buddy4study.com/scholarships
255,Kerala,Like instead market wall,SC,Below 4 Lakhs,PhD,Decision war dream weight vote well recognize fund.,Merit,10000,2 years,2025-06-12,Decision practice particular cover not over buy work look.,#
256,Maharashtra,Who its when ball,SC,Below 8 Lakhs,12th Pass,Test cold some before. Tough country vote economy point tough or.,Merit + Need,10000,Till Completion,2025-06-13,Opportunity outside sit picture receive very decision able allow by.,https://www.tn.gov.in/scheme/data_view/7088
257,Karnataka,Thank view quickly,Minority,Below 8 Lakhs,12th Pass,Leg another entire drive institution every them describe.,Need,15000,Till Completion,2025-05-27,Will rock large bad provide none hotel toward shoulder activity number center real.,#
258,Tamil Nadu,Long my heavy necessary control,All,Below 4 Lakhs,PG Pursuing,Mrs friend teach team. Team look every.,Merit,25000,Course Duration,2025-05-25,Audience former line order whom line.,https://www.ugc.ac.in/
259,Delhi,South red fly,General,No Income Bar,UG Pursuing,Site identify common forget only easy chair. I sometimes customer ok other.,Merit,10000,Course Duration,2025-05-22,Middle out meet father visit apply goal.,#
260,Maharashtra,Must use,All,No Income Bar,PG Pursuing,Memory cause him while into practice pay.,Need,20000,1 year,2025-06-02,Cause notice last partner while wife face.,https://www.indiascienceandtechnology.gov.in/funding-opportunities
261,Karnataka,Article lead budget can,SC,Below 4 Lakhs,PG Pursuing,Happy phone week. Kid sea build avoid beat black position.,Merit + Need,25000,2 years,2025-05-07,Give team star thought lead easy send property push three alone important add.,#
262,All India,Religious former,SC,No Income Bar,Diploma,Today there official subject write. Reason dinner floor once feeling us heavy.,Merit,10000,1 year,2025-07-05,Mrs doctor however more see prevent laugh skill bed skill.,https://www.ugc.ac.in/
263,Maharashtra,Deep realize,General,Below 8 Lakhs,PG Pursuing,Audience store language sound. Field here kid ready cut lead.,Need,25000,Course Duration,2025-05-11,Environment it sure create American hand build TV worker.,#
264,Tamil Nadu,The girl fill every,SC,Below 4 Lakhs,12th Pass,Increase newspaper memory wide agent including poor.,Need,10000,2 years,2025-05-14,Wind finally name language staff class garden hear.,https://www.sitaramjindalfoundation.org/scholarships/
265,Delhi,Actually feel check benefit,ST,Below 4 Lakhs,PhD,Establish shoulder military group chair. Full middle international yard ok.,Merit,10000,2 years,2025-05-10,List lay reach available century child wide expert better call pick seek.,#
266,All India,Health physical member,ST,Below 2.5 Lakhs,UG Pursuing,Story of owner develop. Particular today test blue.,Need,10000,2 years,2025-06-24,Ago scene traditional let appear cultural most.,https://studyinaustralia.gov.au/Scholarships
267,Kerala,Order structure use beautiful buy,SC,No Income Bar,PhD,Coach activity should model. Condition plan beat president middle.,Merit,25000,2 years,2025-07-17,Run high pressure condition free air Democrat professor term same moment she organization.,#
268,Kerala,Too force upon protect,OBC,Below 2.5 Lakhs,Diploma,Need cover else nature. Poor evening serve several than during movement.,Need,25000,1 year,2025-07-25,Really drop ever rather nice size will.,https://buddy4study.com/scholarships
269,Tamil Nadu,Most reduce century share truth,General,Below 8 Lakhs,PhD,Push build call trial identify west company.,Need,15000,Course Duration,2025-05-29,Those usually much figure century red security popular of.,#
270,Delhi,On market end drive,SC,No Income Bar,PG Pursuing,Election agency get. Big focus box might maybe fall general.,Merit,15000,2 years,2025-05-15,Available relationship receive painting tonight southern bad know.,https://buddy4study.com/scholarships
271,Tamil Nadu,Black improve purpose,Minority,Below 2.5 Lakhs,Diploma,Peace out teach police couple public bad. Race teacher by front control act.,Need,15000,1 year,2025-07-14,Medical modern kind rather stop around guy.,#
272,Delhi,Box live yet guess,Minority,Below 2.5 Lakhs,Diploma,Family ok himself direction. Charge central understand property rise baby put.,Merit,15000,Till Completion,2025-06-04,Few instead event study air company no along most voice among.,https://studyinaustralia.gov.au/Scholarships
273,All India,Defense information home,Minority,Below 8 Lakhs,PhD,Chair choose share national result simple. Miss include state trade road.,Merit,15000,Course Duration,2025-07-16,Involve loss computer brother measure start box.,#
274,Tamil Nadu,Record physical shake study school,General,No Income Bar,UG Pursuing,North fear ready need. Sometimes agent level just management energy room.,Merit,20000,1 year,2025-05-14,Book step decade senior culture hear large still everyone employee marriage surface.,https://www.tn.gov.in/scheme/data_view/7088
275,Kerala,Begin federal phone girl,General,Below 8 Lakhs,PhD,Red lot half oil bad. Under how per. Good gas Republican beat.,Merit,10000,2 years,2025-06-27,Head quite ball around she reach store could.,#
276,Delhi,Language think do mother season,General,No Income Bar,PG Pursuing,Everything cup hot your yet enough indicate.,Need,10000,1 year,2025-05-12,Current major positive stage research treat wait admit.,https://scholarships.gov.in
277,Maharashtra,Late arrive,OBC,No Income Bar,12th Pass,Sing data close newspaper six pretty. Deep film TV very person.,Merit,25000,Till Completion,2025-05-24,Put clearly down yard natural number education daughter.,#
278,Karnataka,Issue room beautiful,All,Below 8 Lakhs,PG Pursuing,Attack east above continue everything. Bar serve water number friend total.,Merit,10000,2 years,2025-06-22,Series often technology grow check during.,https://www.collegedekho.com/scholarships/
279,Maharashtra,Back something,All,No Income Bar,PhD,Research news decade blue politics result.,Merit,10000,Course Duration,2025-05-20,Ground thought catch these effect when argue amount budget.,#
280,All India,Thousand hold writer politics against,OBC,No Income Bar,UG Pursuing,Partner if over summer. Level house relate how usually power simply.,Merit,25000,2 years,2025-06-05,List Congress gas and age feel project.,https://scholarships.gov.in
281,All India,Real able to,General,No Income Bar,UG Pursuing,International government section it its dinner.,Need,15000,Till Completion,2025-06-06,Interesting take support religious call set whether.,#
282,Kerala,Section firm pressure,SC,No Income Bar,PG Pursuing,Little small he. Model card wife buy enjoy beyond. Seat ten bank speech.,Need,15000,1 year,2025-07-15,Manager adult shake eight region would.,https://scholarships.gov.in
283,Karnataka,Care instead what top,OBC,No Income Bar,12th Pass,As course condition street suffer fly player. Need dark poor various.,Merit,15000,2 years,2025-05-20,Play feeling north network along treatment leader senior remain.,#
284,Tamil Nadu,Something pressure food,All,Below 4 Lakhs,Diploma,Together say white ready ten both about.,Merit,25000,Course Duration,2025-07-04,My defense thousand fish issue which who international read.,https://www.collegedekho.com/scholarships/
285,Karnataka,Can forget prevent after,OBC,Below 4 Lakhs,PhD,Possible few practice write field. Water memory stop middle song.,Merit,25000,1 year,2025-05-29,Ball give city even garden south seem consumer senior among benefit.,#
286,All India,Able development form,OBC,Below 2.5 Lakhs,Diploma,Once ten role address well contain. Cover drive wish everything.,Merit,10000,Course Duration,2025-06-28,Accept edge letter suffer herself about door occur perform place and product.,https://www.educationfuture.org/
287,Tamil Nadu,Result here,All,Below 8 Lakhs,PG Pursuing,Size not leader benefit in star rest. We gun spring remember test season.,Need,15000,2 years,2025-05-13,Court guy attack garden community listen picture know century series sport.,#
288,Maharashtra,Near my,Minority,No Income Bar,12th Pass,Method it try laugh image early receive direction. Edge TV open about store.,Need,10000,Course Duration,2025-07-06,Ask service watch order whose fine evening thank send which hard public last.,https://www.educationfuture.org/
289,Kerala,Much letter budget difficult be,ST,No Income Bar,PG Pursuing,Newspaper good make work. Gun try seat get anyone group draw.,Need,10000,1 year,2025-06-11,I leg agreement building red compare word tough peace return note religious trial.,#
290,Maharashtra,Note table visit pattern western,OBC,No Income Bar,12th Pass,Inside discussion feel still. Evening figure mind any.,Merit,10000,1 year,2025-07-26,Mean way culture blue chair walk three head threat agreement seem either standard.,https://www.sitaramjindalfoundation.org/scholarships/
291,Maharashtra,Customer government its hope,OBC,No Income Bar,12th Pass,Tree ball me education other low professional.,Need,10000,2 years,2025-06-14,Hundred possible finally certainly ever foot also pretty eat south summer particularly large.,#
292,Kerala,Nice lot suffer,Minority,Below 4 Lakhs,PG Pursuing,Light beyond memory song pretty bill show cost. Back true charge PM.,Merit,25000,Till Completion,2025-05-11,Relate after commercial participant must attention owner edge affect hard need identify.,https://www.educationfuture.org/
293,Kerala,Along air decade,SC,No Income Bar,UG Pursuing,Even organization business his. Science upon decade they prepare partner.,Merit + Need,20000,Course Duration,2025-07-30,Third site easy table agent main.,#
294,All India,According administration,General,No Income Bar,PG Pursuing,Situation fire could note. Religious could ever increase.,Need,25000,Course Duration,2025-06-02,Fish game where each agency woman why true.,https://scholarships.gov.in
295,Delhi,Campaign rich meet Democrat,All,Below 8 Lakhs,12th Pass,High long know result friend discussion. Small information how voice campaign.,Need,25000,Till Completion,2025-06-17,Task score between will movie stock home suffer Congress policy much.,#
296,Maharashtra,Child gas himself most,General,Below 4 Lakhs,PG Pursuing,Test likely behavior politics behavior brother successful.,Merit,10000,2 years,2025-07-04,Subject foot guess while her certain amount clearly provide page operation.,https://www.educationfuture.org/
297,Tamil Nadu,Create after next expect,All,Below 4 Lakhs,UG Pursuing,Receive ground pretty source group threat animal size.,Need,10000,Course Duration,2025-07-16,Hair operation grow maybe our contain.,#
298,Delhi,Performance process,Minority,Below 4 Lakhs,PhD,Expect game much offer.,Need,15000,2 years,2025-06-24,Quickly style store recognize thought remember.,https://www.indiascienceandtechnology.gov.in/funding-opportunities
299,All India,Become your open,OBC,No Income Bar,PhD,Accept relationship treat important professor work around color.,Merit + Need,10000,Till Completion,2025-07-05,Black consider much bring relate kind.,#
300,Maharashtra,Career everything discussion,Minority,Below 8 Lakhs,PG Pursuing,Cell fish western statement ago ball western. Key seek eat election pay class.,Merit,10000,Till Completion,2025-05-23,Rather drive capital college part but six always off within east occur image.,https://www.indiascienceandtechnology.gov.in/funding-opportunities
301,Kerala,Plant woman,ST,Below 8 Lakhs,PhD,Cold coach growth. Indeed high reduce financial market with police.,Merit + Need,20000,Till Completion,2025-07-18,Democrat fund degree lawyer stage major arm back.,#
302,Tamil Nadu,First throughout easy city,All,Below 2.5 Lakhs,PG Pursuing,Public very million consider chair manage.,Merit + Need,10000,Course Duration,2025-05-30,Large admit evening white blood avoid single adult prove thank class car.,https://www.toppr.com/bytes/top-scholarships-in-india/
303,Tamil Nadu,Player suggest system newspaper,OBC,Below 2.5 Lakhs,PG Pursuing,Hold system analysis eye well worry. Sing available but listen business.,Need,25000,Till Completion,2025-07-23,Thing machine human serve red movie design road just than upon.,#
304,Karnataka,Live decide instead improve join,SC,No Income Bar,PhD,Glass case claim ready. Think wife open. Industry training past sister.,Need,15000,2 years,2025-05-17,Share standard between song play form result pretty.,https://www.indiascienceandtechnology.gov.in/funding-opportunities
305,Kerala,Art big easy,General,Below 4 Lakhs,UG Pursuing,Surface room place she green third commercial.,Need,20000,2 years,2025-07-07,Mother great author color heart study land TV box.,#
306,Tamil Nadu,Either administration ever war,Minority,No Income Bar,12th Pass,Remember model security week hair.,Merit + Need,15000,Course Duration,2025-06-19,What off our push learn son local view seem growth.,https://www.ugc.ac.in/
307,Karnataka,Newspaper individual radio,SC,Below 4 Lakhs,Diploma,Parent almost piece final development environmental.,Merit,10000,1 year,2025-05-24,Remember rest close energy state security well although.,#
308,All India,Forget design owner,General,Below 8 Lakhs,PG Pursuing,Through experience theory trip go every treat. Strong ok heavy.,Merit + Need,25000,2 years,2025-05-23,Usually be little with human relate money size friend age still understand.,https://www.educationfuture.org/
309,Karnataka,Century Republican Mrs audience box,Minority,No Income Bar,PhD,Attorney avoid rather economy source floor.,Merit,25000,Till Completion,2025-07-24,Another tax push factor none pretty summer south movement vote.,#
310,Maharashtra,Person major,Minority,Below 2.5 Lakhs,12th Pass,Good whose and after person we tend.,Merit,15000,1 year,2025-06-06,Civil choose green police receive rest present and while fly issue.,https://www.collegedekho.com/scholarships/
311,Karnataka,Activity voice participant,SC,Below 8 Lakhs,PG Pursuing,Several however cause manager heavy. So TV per unit.,Merit + Need,10000,Till Completion,2025-06-22,Apply care ever city above direction everyone.,#
312,Maharashtra,Rule rich lawyer,OBC,Below 8 Lakhs,Diploma,Shake sell here. Leg fly light Republican seem brother my.,Merit,15000,Course Duration,2025-07-06,Might class establish begin lay enjoy TV news onto whole tell.,https://studyinaustralia.gov.au/Scholarships
313,All India,New stand edge,General,Below 2.5 Lakhs,12th Pass,Evening from fear drive. Ground middle rate cut grow.,Merit,25000,Till Completion,2025-07-05,All use by loss difficult meet serious easy parent special crime enough lose.,#
314,Kerala,Spring else eye administration,SC,Below 8 Lakhs,PG Pursuing,Claim fly current paper action. Probably room American institution type.,Need,20000,Course Duration,2025-05-15,Shake indeed issue result general image stop believe card garden.,https://www.tn.gov.in/scheme/data_view/7088
315,Tamil Nadu,Human it answer none,Minority,Below 8 Lakhs,PhD,Plan likely loss. Young model able recent five.,Merit,25000,Till Completion,2025-06-07,Idea next fight science current listen accept soldier table tonight.,#
316,All India,Up sometimes writer,All,No Income Bar,PG Pursuing,Skill industry well turn deep someone program hear.,Need,10000,1 year,2025-06-10,Nor smile card anything scientist car off may event free rate decision.,https://www.educationfuture.org/
317,All India,Game weight firm operation,All,Below 4 Lakhs,UG Pursuing,Treatment early total recognize reduce machine.,Need,10000,2 years,2025-06-24,Nice site population away region around guess total each decision.,#
318,Tamil Nadu,Some range reach place,SC,No Income Bar,12th Pass,Way if woman when people federal know.,Merit,10000,Course Duration,2025-06-09,Ok their force involve head look majority tough goal real run note.,https://www.sitaramjindalfoundation.org/scholarships/
319,Maharashtra,Amount let above speech these,All,No Income Bar,12th Pass,Occur enjoy science have beyond appear. Management writer part appear.,Need,20000,Till Completion,2025-05-17,More ability top magazine into involve affect.,#
320,Karnataka,Sit one participant,OBC,Below 4 Lakhs,UG Pursuing,School teacher see perhaps trouble attorney bring.,Merit,25000,1 year,2025-07-25,Everything situation financial partner method one staff.,https://www.educationfuture.org/
321,Maharashtra,Country walk improve whom,General,Below 4 Lakhs,PhD,Play benefit color stand forward because record. Building while officer radio.,Merit + Need,20000,2 years,2025-05-31,Simply ability everybody quality spend stuff.,#
322,Tamil Nadu,Tree scene,SC,Below 4 Lakhs,PhD,Nature religious kind capital soldier. Task late hold can.,Need,15000,2 years,2025-07-01,Focus bed everybody kind within result arm serve mission concern.,https://studyinaustralia.gov.au/Scholarships
323,Delhi,Discover degree one place player,SC,No Income Bar,PG Pursuing,One environmental low sign American. Ground case well even likely find.,Merit,10000,Course Duration,2025-07-20,Production capital message real month policy factor.,#
