ID,State,Name,Category,Income Eligibility,Qualification,Eligible Courses,Special Criteria,Minimum Qualification,Description,Type,Selection Process,Award Amount,Duration,Application Deadline,Registration Link
99,Andhra Pradesh,Jagananna Vidya Deevena (Post-Matric Scholarship),SC/ST/BC/EBC/Minority/Differently Abled,"INR 250,000",Post-Matric,Post-matric,Minority category,Not Specified,Full fee reimbursement for eligible students pursuing higher education.,Private,Not Specified,Tuition fee reimbursement,Duration of course,Varies,Not Available
100,Andhra Pradesh,Jagananna Vasathi Deevena (Post-Matric Scholarship),SC/ST/BC/EBC/Minority/Differently Abled,"INR 250,000",Post-Matric,Post-matric,Minority category,Not Specified,Financial assistance for hostel and mess charges.,Private,Not Specified,"INR 20,000 per annum",Duration of course,Varies,Not Available
101,Andhra Pradesh,Pre-Matric Scholarship for Minority Community Students,Minority Communities,"INR 100,000",Class 6 to 10,Class 6 to 10,Minority category,Not Specified,Financial assistance for minority students in pre-matric education.,Private,Not Specified,Varies,1 year (renewable),Varies,Not Available
102,Andhra Pradesh,UGC PG Indira Gandhi Scholarship for Single Girl Child,Single Girl Child,No income limit,PG,Single girl child in a family pursuing pg,Female category,Not Specified,Support for single girl child in a family pursuing PG courses.,Private,Not Specified,"INR 36,200/year",2 years,October,Not Available
103,Andhra Pradesh,UGC PG Scholarship for University Rank Holders,All,No income limit,PG (1st Rank holders),Pg (1st rank holders),All category,Not Specified,Top-ranking UG students pursuing PG courses.,Private,Not Specified,"INR 3,100/month",2 years,October,Not Available
104,Andhra Pradesh,INSPIRE Fellowship by DST,All (Science students),No income limit,UG-PG to PhD (Science),Science at ug,Not Specified,Not Specified,"For students excelling in science, especially pursuing research.",Not Specified,Not Specified,"INR 31,000/month + HRA",5 years,October,Not Available
105,Andhra Pradesh,DST WISE Fellowship (Women in Science and Engineering),All,No income limit,PhD/Postdoc (Women),Phd/postdoc (women),Female category,Not Specified,Support to women in science/engineering research.,Not Specified,Not Specified,"INR 55,000/month + grants",3 years,Varies,Not Available
106,Andhra Pradesh,L'Oréal India For Young Women in Science Scholarship,All,"INR 400,000",UG (Science),Girls pursuing degrees in science,Female category,Not Specified,For girls pursuing degrees in Science/Technology.,International,Not Specified,Up to INR 2.5 Lakhs,3-4 years,October,Not Available
107,Andhra Pradesh,Sitaram Jindal Foundation Scholarship,All,Varies by category,UG/PG,Ug/pg,All category,Not Specified,Scholarships for poor meritorious students from all states.,Government,Not Specified,"INR 1,000-2,000/month",1 year (renewable),Rolling basis,Not Available
108,Andhra Pradesh,Foundation for Excellence (FFE) Scholarship,All (Engineering/Medical),"INR 300,000",UG (1st Year),Bright students pursuing engineering,Not Specified,Not Specified,For bright students pursuing engineering/medical degrees.,NGO,Not Specified,Full tuition fees,4-5 years,July,Not Available
109,Telangana,Post Matric Scholarship (PMS) for SC/ST/BC/EBC/Minority students,SC/ST/BC/EBC/Minority,No Income Limit,Post-Matric,Post-matric,Minority category,Not Specified,Financial aid for higher education expenses for backward categories.,Private,Not Specified,Tuition + Maintenance,Duration of course,Varies,Not Available
110,Telangana,Pre Matric Scholarship for SC/ST/BC/EBC/Minority students,SC/ST/BC/EBC/Minority,"INR 100,000",Class 5 to 10,Class 5 to 10,Minority category,Not Specified,For school students from minority and backward categories.,Private,Not Specified,"Up to INR 1,000/month",1 year,Varies,Not Available
111,Telangana,Mahatma Jyothiba Phule Overseas Vidya Nidhi (BC/EBC),BC/EBC,"INR 500,000",PG (Foreign),Pg (foreign),Not Specified,Not Specified,Financial aid for BC/EBC students studying abroad.,International,Not Specified,Up to INR 20 Lakhs,One-time,Varies,Not Available
112,Telangana,Ambedkar Overseas Vidya Nidhi (SC/ST Students),SC/ST,"INR 500,000",PG (Foreign),Pg (foreign),SC/ST category,Not Specified,Financial assistance for SC/ST students studying abroad.,International,Not Specified,Up to INR 20 Lakhs,One-time,Varies,Not Available
113,Telangana,Chief Minister's Overseas Scholarship for Minority Students,Minority,"INR 200,000",PG/PhD (Foreign),Pg/phd (foreign),Minority category,Not Specified,Scholarship for minority students pursuing higher studies abroad.,International,Not Specified,Up to INR 20 Lakhs,One-time,Varies,Not Available
114,Telangana,Telangana National Talent Search Exam (NTSE),All,No income limit,Class 10,Class 10,All category,Not Specified,National-level scholarship for meritorious school students.,Private,Not Specified,"INR 1,250-2,000/month",Up to PhD,October,Not Available
115,Telangana,Telangana ePASS Kalyana Lakshmi Scheme,SC/ST/BC Minority,"INR 200,000",Marriage Support,Marriage support,Female category,Not Specified,Financial support to SC/ST/BC minority girls during marriage.,Not Specified,Not Specified,"INR 1,00,116",One-time,Rolling,Not Available
116,Telangana,Shadi Mubarak Scheme,Minority (Muslim/Christian),"INR 200,000",Marriage Support,Marriage support,Minority category,Not Specified,Support to minority girls for marriage expenses.,Not Specified,Not Specified,"INR 1,00,116",One-time,Rolling,Not Available
117,Telangana,Telangana EBC Post Matric Scholarship,EBC,"INR 150,000",Post-Matric,Post-matric,Not Specified,Not Specified,Aid for EBC students pursuing higher education.,Private,Not Specified,Tuition + Maintenance,Duration of course,Varies,Not Available
118,Telangana,Telangana Disabled Post Matric Scholarship (for PwD Students),all,"INR 100,000",Post-Matric,Post-matric,Differently Abled category,Not Specified,Assistance to differently-abled students for higher education.,Private,Not Specified,"Up to INR 1,200/month",Duration of course,Varies,Not Available
119,Telangana,Bharti Airtel Foundation Scholarship,All,Family income < inr 8.5 lakhs,UG/Integrated courses in tech,Tech-based ug,All category,Not Specified,Fully funded scholarships for tech-based UG courses in top NIRF colleges.,NGO,Not Specified,Full tuition and expenses,Duration of course,Varies,Not Available
120,Telangana,Santoor Women's Scholarship,"Female students from AP, TS, KA, CG",No Income Limit,Class 12 pass,Full-time diploma,Female category,Not Specified,Financial support for underprivileged girls to pursue higher education.,Private,Not Specified,"INR 24,000/year",Duration of course,Varies,Not Available
121,Telangana,Vidyadhan Scholarship Program,All,Family income < inr 2 lakhs,Class 10 pass,Class 10 pass,All category,Not Specified,Supports college education for meritorious students from economically challenged families.,Private,Not Specified,"INR 6,000-10,000/year",Duration of course,Varies,Not Available
122,Telangana,HDFC Educational Crisis Scholarship Scheme,All,No Income Limit,Class 6 to PG students,Class 6 to pg students,All category,Not Specified,Assistance for students facing personal/economic crises to continue education.,Private,Not Specified,"INR 10,000-25,000",One-time,Varies,Not Available
123,Telangana,Reliance Foundation Undergraduate Scholarships,All,No Income Limit,First-year UG students,First-year ug students,All category,Not Specified,Merit-cum-means scholarships for UG students in any stream.,NGO,Not Specified,Up to INR 2 Lakhs,Duration of course,Varies,Not Available
124,Telangana,United Way Hyderabad Scholarship,All,No Income Limit,Undergraduate students,Undergraduate students,All category,Not Specified,Scholarships for UG students in Hyderabad region.,Private,Not Specified,Varies,Duration of course,Varies,Not Available
125,Andhra Pradesh,"Pre-Matric Scholarship for SC, ST, BC, and Disabled Welfare Students",SC/ST/BC/Disabled,"INR 200,000",Class 5 to 10,Class 5 to 10,SC/ST category,Not Specified,Financial assistance for school students from specified categories.,NGO,Not Specified,Tuition fee + Maintenance charges,1 year,Varies,Not Available
126,Andhra Pradesh,"Post-Matric Scholarship for SC, ST, BC, and Disabled Welfare Students",SC/ST/BC/EBC/Disabled,"INR 250,000",Post-Matriculation,Post-matriculation,SC/ST category,Not Specified,Financial aid for higher education expenses for specified categories.,NGO,Not Specified,Tuition fee + Maintenance charges,Duration of course,Varies,Not Available
127,Andhra Pradesh,NTR Videshi Vidyadharana Scholarship Scheme for BC and EBC Students,BC/EBC,"INR 800,000",Postgraduate/PhD (Abroad),Postgraduate/phd (abroad),Not Specified,Not Specified,Financial assistance for higher studies abroad.,International,Not Specified,Up to INR 10 Lakhs,One-time,Tba,Not Available
128,Andhra Pradesh,Vidyadhan - Andhra Intermediate Scholarship Program,All,Family income < inr 2 lakhs,Class 10 pass,Class 10 pass,All category,Not Specified,Supports meritorious students from economically challenged families for intermediate education.,Private,Not Specified,"INR 10,000-60,000/year",2 years,Varies,Not Available
129,Andhra Pradesh,Jagananna Videshi Vidya Deevena Scheme,All,No Income Limit,Postgraduate/PhD/MBBS (Abroad),Postgraduate/phd/mbbs (abroad),All category,Not Specified,Financial assistance for students pursuing higher education abroad.,International,Not Specified,Up to full tuition fee or INR 50 Lakhs,One-time,Tba,Not Available
130,Andhra Pradesh,NTR Vidyonnathi Scheme,SC/ST/BC/EBC/Minority/Kapu/Brahmin,No Income Limit,Civil Services Aspirants,Civil services aspirants,Minority category,Not Specified,Free coaching for civil services examination preparation.,Not Specified,Not Specified,Coaching fee + stipend,9 months,Tba,Not Available
131,Jharkhand,Jharkhand Post Matric Scholarship,SC/ST/OBC,"INR 250,000",Post-Matric,Post-matric,SC/ST category,Not Specified,For SC/ST/OBC students pursuing higher education,Private,Not Specified,Tuition + maintenance,Annual,December,https://ekalyan.cgg.gov.in/
132,Uttar Pradesh,UP Pre Matric Scholarship for SC/ST/OBC/Minorities,SC/ST/OBC/Minorities,"INR 100,000",1st to 10th,1st to 10th,SC/ST category,Not Specified,Financial aid for economically weaker school students,Private,Not Specified,"INR 2,000 to INR 5,000",Annual,October,https://scholarship.up.gov.in/
133,Punjab,Ashirwad Scholarship,SC/ST/OBC,"INR 250,000",Post-Matric,Post-matric,SC/ST category,Not Specified,Post-matric scholarship for SC/ST/OBC in Punjab,Private,Not Specified,Tuition + allowance,1 year,December,https://scholarships.punjab.gov.in/
134,All India,Siemens Scholarship Program,All,"INR 200,000",1st Year Engineering,1st year engineering,All category,Not Specified,For engineering students with academic merit and financial need,Private,Not Specified,Full academic support,4 years,August,https://www.siemens.co.in/...
135,Maharashtra,Education Concession to Children of Freedom Fighters,All,No Income Limit,School & UG/PG,School & ug/pg,All category,Not Specified,Tuition fee waiver for wards of freedom fighters,Not Specified,Not Specified,Full fee waiver,Annual,September,https://mahadbt.maharashtra.gov.in/
136,Kerala,Mother Teresa Scholarship,Minority,"INR 100,000",UG/PG,Minority students in kerala pursuing ug,Minority category,Not Specified,For minority students in Kerala pursuing UG/PG,Private,Not Specified,"INR 15,000",Annual,October,https://minoritywelfare.kerala.gov.in/
137,Karnataka,Vidyasiri Scholarship,SC/ST/OBC,"INR 250,000",UG/PG,Full-time ug,SC/ST category,Not Specified,Hostel fees and food assistance for backward classes,Private,Not Specified,"INR 1,500/month",10 months,November,https://karepass.cgg.gov.in/
138,Tamil Nadu,First Graduate Scholarship,First-Gen,"INR 100,000",UG,Ug,Not Specified,Not Specified,Tuition waiver for first graduate in family,Private,Not Specified,"INR 25,000",Annual,August,https://www.tn.gov.in/scheme/data_view/37496
139,Odisha,PRERANA Scholarship,SC/ST/OBC/SEBC,"INR 250,000",Post-Matric,Post-matric,SC/ST category,Not Specified,Online scholarship system for economically weaker students,Private,Not Specified,Tuition + maintenance,Annual,December,https://scholarship.odisha.gov.in/
140,Rajasthan,Devnarayan Girl Student Scholarship,Girl Students,"INR 100,000",11th to PG,11th to pg,Female category,Not Specified,For girl students from backward communities,Private,Not Specified,"INR 10,000 to 20,000",Annual,September,https://hte.rajasthan.gov.in/
141,Haryana,Post Matric Scholarship for SC Students,SC,"INR 250,000",Post-Matric,Post-matric,Not Specified,Not Specified,Financial help for SC students in Haryana,Private,Not Specified,Tuition + allowances,Annual,October,https://harchhatravratti.highereduhry.ac.in/
142,West Bengal,Swami Vivekananda Merit-cum-Means Scholarship,All,"INR 250,000",HS/UG/PG,Hs/ug/pg,All category,75% in last qualifying exam,Merit and need-based scholarship for students in West Bengal,Private,Not Specified,"INR 1,000-8,000",Annual,November,https://svmcm.wbhed.gov.in/
143,Delhi,Delhi Ladli Scheme,Girl Students,"INR 100,000",School/UG,School/ug,Female category,Not Specified,Incentives for girl education from 1st standard to 12th,Not Specified,Not Specified,"INR 5,000 to 11,000",Milestone,Varies,https://www.wcddel.in/schemes/ladli-scheme
144,All India,Aditya Birla Scholarship,Merit,No income bar,UG (IIM/IIT/LAW),Ug (iim/iit/law),Not Specified,Not Specified,Corporate-funded scholarship for top academic performers,Private,Not Specified,"INR 1,80,000/year",Up to 4 yrs,July,https://www.adityabirlascholars.net/
145,Andhra Pradesh,Jnanabhumi Scholarship,SC/ST/OBC/Minorities,"INR 250,000",UG/PG,Ug/pg,SC/ST category,Not Specified,Scholarship portal for students in AP,Private,Not Specified,"INR 10,000+",Annual,October,https://jnanabhumi.ap.gov.in/
146,Gujarat,Digital Gujarat Scholarship,SC/ST/OBC/EBC,"INR 200,000",School to PG,School to pg,SC/ST category,Not Specified,Centralized portal for all Gujarat scholarships,Government,Not Specified,Varies by scheme,Annual,November,https://www.digitalgujarat.gov.in/
147,Telangana,ePASS Telangana Scholarship,SC/ST/BC/EBC/Minorities,"INR 200,000",Post-Matric,Post-matric,SC/ST category,Not Specified,For backward class students in Telangana,Private,Not Specified,Tuition + hostel fee,Annual,October,https://telanganaepass.cgg.gov.in/
148,Madhya Pradesh,Mukhya Mantri Medhavi Vidyarthi Yojana,General/OBC/SC/ST,"INR 600,000",UG,Ug,SC/ST category,Not Specified,Merit scholarship for MP students scoring above 85% in 12th,Private,Not Specified,Tuition fee + laptop,3-4 yrs,July,http://scholarshipportal.mp.nic.in/
149,Chhattisgarh,Rajya Chatra Vritti Yojana,SC/ST,"INR 100,000",Class 3-8,Class 3-8,SC/ST category,Not Specified,Financial support for primary school children from SC/ST,Not Specified,Not Specified,"INR 500-1,000",Annual,July,https://tribal.cg.gov.in/
150,Andhra Pradesh,Jagananna Videshi Vidya Deevena,EWS,"INR 800,000",PG Abroad,Pg abroad,Not Specified,Not Specified,Overseas education support for economically weaker students,International,Not Specified,₹10 Lakhs,One-time,May,https://jnanabhumi.ap.gov.in
151,Kerala,CH Muhammed Koya Scholarship,Muslim Girls,"INR 800,000",UG,Muslim girls in kerala pursuing ug,Female category,Not Specified,For Muslim girls in Kerala pursuing UG,Private,Not Specified,"₹6,000/year",Annual,September,https://dcescholarship.kerala.gov.in
152,Madhya Pradesh,Mukhya Mantri Medhavi Vidyarthi Yojana,All,"INR 600,000",UG,Ug,All category,Not Specified,Tuition support for meritorious MP students,Not Specified,Not Specified,Full Tuition Fee,Annual,July,https://scholarshipportal.mp.nic.in
153,Delhi,Delhi SC/ST/OBC/Minorities Scholarship,SC/ST/OBC/Minority,"INR 200,000",School/College,School/college,Minority category,Not Specified,For backward communities in Delhi,Private,Not Specified,"₹ 12,000",Annual,August,https://edistrict.delhigovt.nic.in
154,Tamil Nadu,First Graduate Tuition Fee Waiver,First Graduate,No Income Limit,UG,Ug,Not Specified,Not Specified,Fee waiver for first graduates in family,Not Specified,Not Specified,Full Tuition Fee,Annual,July,https://escholarship.tn.gov.in
155,Punjab,Post Matric Scholarship for Minorities,Minority,"INR 200,000",Class 11-PG,Class 11-pg,Minority category,Not Specified,Support for minority students in Punjab,Private,Not Specified,Tuition + maintenance,Annual,October,https://punjabscholarships.gov.in
156,Uttarakhand,Pre Matric Scholarship,SC/ST/OBC,"INR 200,000",Class 1-10,Class 1-10,SC/ST category,Not Specified,Early education support for backward classes,Private,Not Specified,"₹3,500/year",Annual,August,https://escholarship.uk.gov.in
157,Chandigarh,Post Matric Scholarship for SC,SC,"INR 200,000",Class 11-PG,Class 11-pg,Not Specified,Not Specified,SC post-matric support,Private,Not Specified,"₹ 10,000",Annual,October,https://chdeducation.gov.in
158,Odisha,Prerana Scholarship,SC/ST/OBC/SEBC,"INR 250,000",Post Matric,Post matric,SC/ST category,Not Specified,For backward communities,Private,Not Specified,"₹ 10,000",Annual,September,https://mpsc.mp.nic.in
159,Jammu & Kashmir,Prime Minister's Special Scholarship Scheme (PMSSS),All,"INR 800,000",UG,Ug,All category,Not Specified,Study support for all,Private,Not Specified,₹1.25 Lakhs/year,Annual,June,https://aicte-india.org
160,Rajasthan,CM Higher Education Scholarship,Meritorious,"INR 250,000",UG,Ug,Not Specified,Not Specified,For top-performing students,Private,Not Specified,"₹ 5,000",Annual,August,https://hte.rajasthan.gov.in
161,Jharkhand,e-Kalyan Scholarship,SC/ST/OBC,"INR 250,000",Post Matric,Post matric,SC/ST category,Not Specified,State scholarship for backward communities,Government,Not Specified,"₹ 15,000",Annual,October,https://ekalyan.cgg.gov.in
162,West Bengal,Swami Vivekananda Merit-cum-Means,All,"INR 250,000",Class 11-PG,Class 11-pg,All category,75% in last qualifying exam,For meritorious students,Not Specified,Not Specified,"₹8,000-12,000",Annual,August,https://svmcm.wbhed.gov.in
163,Tripura,Umbrella Scheme for Minorities,Minority,"INR 200,000",Class 1-10,Class 1-10,Minority category,Not Specified,Early school support,Not Specified,Not Specified,"₹3,000/year",Annual,September,https://tripura.gov.in
164,Goa,Merit Scholarship Scheme,General,No Income Limit,Class 12-UG,Class 12-ug,All category,75% in last qualifying exam,For top students in Goa,Private,Not Specified,"₹10,000/year",Annual,July,https://dhe.goa.gov.in
165,Manipur,OBC Post Matric Scholarship,OBC,"INR 150,000",Post Matric,Post matric,OBC category,Not Specified,Support for OBCs,Private,Not Specified,"₹ 8,000",Annual,October,https://manipurobcsc.gov.in
166,Nagaland,Post Matric Scholarship,SC/ST,"INR 200,000",Post Matric,Post matric,SC/ST category,Not Specified,Support for SC/ST,Private,Not Specified,"₹ 7,500",Annual,September,https://scholarship.nagaland.gov.in
167,Haryana,Consolidated Stipend Scheme,All,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,For students in govt colleges,Government,Not Specified,"₹3,000/year",Annual,August,https://haryanascbc.gov.in
168,Mizoram,Post Matric Scholarship,ST,"INR 200,000",Post Matric,Post matric,Not Specified,Not Specified,For ST community in Mizoram,Private,Not Specified,"₹ 8,000",Annual,October,https://scholarship.mizoram.gov.in
169,All India,GSK Scholars Program,All,"INR 200,000",Pharmacy,Pharmacy,All category,Not Specified,For B.Pharm students,Not Specified,Not Specified,₹1 Lakh/year,4 years,August,https://buddy4study.com
170,All India,Kotak Kanya Scholarship,Girl Students,"INR 320,000",UG (Professional),Girls pursuing professional ug degree,Female category,Not Specified,For girls pursuing professional UG degrees,Private,Not Specified,₹1.5 Lakhs/year,3 years,September,https://kotak.com
171,All India,Tata Trusts Means Grant,All,"INR 200,000",UG,Ug,All category,Not Specified,Need-based grant for UG students,International,Not Specified,Tuition + hostel,Annual,June,https://tatatrusts.org
172,All India,IndusInd Foundation Scholarship,All,"INR 200,000",UG,First-year ug,All category,Not Specified,For first-year UG students,NGO,Not Specified,"₹ 10,000",Annual,July,https://theindusindfoundation.org
173,All India,L'Oréal Young Women in Science,Girl Students,"INR 400,000",UG (Science),Girls in science,Female category,Not Specified,For girls in science stream,Not Specified,Not Specified,₹2.5 Lakhs,3 years,July,https://buddy4study.com
174,All India,SOF Girl Child Scholarship Scheme,Girl Child,"INR 200,000",Class 1-10,Class 1-10,Female category,Not Specified,Support for girl children,Private,Not Specified,"₹ 5,000",Annual,November,https://sofworld.org
175,All India,Sitaram Jindal Foundation Scholarship,All,"INR 400,000",School to PG,School to pg,All category,60% in last qualifying exam,Wide coverage for all students,NGO,Not Specified,"₹500-2,500/month",Annual,Open round,https://sjfoundation.org
176,All India,ONGC Sports Scholarship,Sports,No Income Limit,All levels,All levels,Not Specified,Not Specified,For budding sports talent,Private,Not Specified,"₹30,000/month",1 year,July,https://ongcindia.com
177,Uttar Pradesh,UP Pre-Matric Scholarship,SC/ST/OBC/Minority,"INR 100,000",Enrolled in Class 9-10,Enrolled in class 9-10,Minority category,Not Specified,Aid for school students from backward categories in UP.,Private,Not Specified,"Up to INR 1,200/month",Annual,December,https://scholarship.up.gov.in/
178,Uttar Pradesh,UP Post Matric Scholarship,SC/ST/OBC/Minority,"INR 200,000",10th pass,Recognized post-matric,Minority category,Not Specified,Aid for economically backward students in UP.,Private,Not Specified,"Up to INR 5,700",Annual,July,https://scholarship.up.gov.in/
179,Uttar Pradesh,General Pre-Matric Scholarship,General Category,"INR 100,000",Enrolled in Class 9-10,Enrolled in class 9-10,Not Specified,Not Specified,Scholarship for financially weak general category students.,Private,Not Specified,Varies,Annual,Varying dates,https://www.myscheme.gov.in/schemes/gpmsup
180,Uttar Pradesh,Azim Premji Scholarship,Girl Students,"INR 200,000",UG/Diploma,Ug/diploma,Female category,Not Specified,Scholarship for girls from government schools pursuing higher education.,Government,Not Specified,Varies,Annual,Varying dates,https://azimpremjifoundation.org/what-we-do/education/azim-premji-scholarship/
181,Uttar Pradesh,Reliance Foundation UG Scholarship,All,"INR 200,000",UG (1st Year),Meritorious ug,All category,Not Specified,For meritorious UG students from economically weak backgrounds.,NGO,Not Specified,Up to INR 2 Lakhs,Full course,Varying dates,https://www.scholarships.reliancefoundation.org/UG_Scholarship.aspx
182,Uttar Pradesh,Vidyadhan Scholarship,All,"INR 200,000",Class 10 pass,Meritorious low-income students in class 11 or ug,All category,Not Specified,Support for meritorious low-income students in Class 11 or UG.,Private,Not Specified,"INR 10,000-75,000/year",2 years,Varying dates,https://www.vidyadhan.org/apply
183,Uttar Pradesh,Mukhyamantri Krishak Chatravriti Yojna,Agriculture Students,"INR 200,000",UG (Agriculture),Agriculture degree,Not Specified,Not Specified,Scholarship for agriculture degree students in UP.,Private,Not Specified,"INR 3,000/month",Full course,Varying dates,https://www.ccspu.org/
184,Uttar Pradesh,Urdu Academy Scholarship,Urdu Students,"INR 200,000",School to PG,School to pg,Not Specified,Not Specified,Support for students pursuing Urdu education in UP.,Private,Not Specified,Varies,Annual,Varying dates,https://www.upurduakademi.in/Home.aspx#!
185,Uttar Pradesh,Sitaram Jindal Foundation Scholarship,All,"INR 400,000",School to PG,School to pg,All category,60% in last qualifying exam,Scholarship across educational levels based on merit and means.,NGO,Not Specified,"INR 500-2,500/month",Annual,Open round,https://sjfoundation.org/scholarship-scheme/
186,Uttar Pradesh,Maulana Azad Scholarship for Minority Girls,Minority Girls,"INR 200,000",Class 9-12,Class 9-12,Minority category,Not Specified,Support for minority girl students in UP.,Private,Not Specified,"INR 12,000/year",Annual,Varying dates,https://scholarships.gov.in/
187,Uttar Pradesh,Aditya Birla Scholarship,All,"INR 200,000",UG/PG,Meritorious students in ug or pg,All category,Not Specified,For meritorious students in UG or PG courses.,Private,Not Specified,Varies,Full course,Varying dates,https://www.adityabirla.com
188,Uttar Pradesh,Dr. Ambedkar Foundation Scholarship,SC/ST Students,"INR 200,000",UG/PG,Ug or pg,SC/ST category,Not Specified,For SC/ST students pursuing UG or PG education.,NGO,Not Specified,Varies,Full course,Varying dates,https://ambedkarfoundation.nic.in
189,Uttar Pradesh,Mahindra Pride Scholarship,All,"INR 200,000",UG,Meritorious students in their first year of ug,All category,Not Specified,For meritorious students in their first year of UG courses.,Private,Not Specified,"Up to INR 1,00,000",Full course,Varying dates,https://www.mahindra.com
190,Uttar Pradesh,OP Jindal Scholarship,All,"INR 300,000",UG/PG,Meritorious students in ug and pg,All category,Not Specified,Scholarships for meritorious students in UG and PG.,Private,Not Specified,Varies,Full course,Varying dates,https://www.jindalsteelpower.com
191,Uttar Pradesh,LNCT Group of Colleges Scholarship,All,"INR 200,000",UG/PG,Students pursuing ug and pg,All category,Not Specified,For students pursuing UG and PG courses in the LNCT Group.,Private,Not Specified,Varies,Full course,Varying dates,https://www.lnctgroup.in
192,Uttar Pradesh,Tata Trusts Scholarship,All,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,Financial assistance for higher education in India.,International,Not Specified,Varies,Full course,Varying dates,https://www.tatatrusts.org
193,Uttar Pradesh,Sandeep Jindal Scholarship,All,"INR 300,000",UG/PG,Ug/pg,All category,Not Specified,"For students excelling in academics, sports, or arts.",Private,Not Specified,"Up to INR 1,50,000",Full course,Varying dates,https://sjfoundation.org
194,Uttar Pradesh,Hero Group Scholarship,All,"INR 200,000",UG/PG,Technical ug,All category,Not Specified,For students pursuing higher education in technical fields.,Private,Not Specified,Varies,Full course,Varying dates,https://www.herogroup.com
195,Uttar Pradesh,Shree C.P. Joshi Scholarship,All,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,Scholarships for students with high academic standing.,Private,Not Specified,Varies,Full course,Varying dates,https://www.cpjoshi.org
196,Uttar Pradesh,Wipro Earthian Scholarship,All,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,For students working on environmental sustainability projects.,Private,Not Specified,"INR 50,000-2,00,000",Full course,Varying dates,https://www.wipro.com
197,Uttar Pradesh,UP Chief Minister Scholarship,All,"INR 300,000",UG/PG,Ug/pg,All category,Not Specified,Financial aid for meritorious students from UP.,Private,Not Specified,"Up to INR 50,000/year",Full course,Varying dates,https://scholarship.up.gov.in/
198,Uttar Pradesh,National Scholarship Portal (NSP),SC/ST/OBC/Minority,"INR 200,000",UG/PG,Ug/pg,Minority category,Not Specified,Government-sponsored portal for various scholarships.,Government,Not Specified,Varies,Full course,Varying dates,https://scholarships.gov.in/
199,Uttar Pradesh,Hindustan Unilever Scholarship,All,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,For students pursuing courses related to business and management.,Private,Not Specified,"Up to INR 1,00,000",Full course,Varying dates,https://www.hul.co.in
200,Uttar Pradesh,Microsoft Research India Fellowship,All,"INR 400,000",PhD/Research,Students pursuing phd in computer science,All category,Not Specified,For students pursuing PhD in computer science or related fields.,International,Not Specified,"INR 1,00,000/year",Full course,Varying dates,https://www.microsoft.com
201,Uttar Pradesh,JN Tata Endowment for Higher Education,All,"INR 300,000",UG/PG,Ug/pg,All category,Not Specified,Loan scholarship for higher education abroad.,International,Not Specified,Up to INR 10 Lakhs,Full course,Varying dates,https://www.jntataendowment.org
202,Uttar Pradesh,Vodafone Foundation Scholarship,All,"INR 200,000",UG/PG,Ug/pg,All category,Not Specified,Scholarship for students pursuing studies in telecom and IT.,NGO,Not Specified,"Up to INR 1,50,000",Full course,Varying dates,https://www.vodafone.com
203,Uttar Pradesh,Indian Oil Corporation Scholarship,SC/ST/OBC/General,"INR 200,000",UG/PG,Students in need of financial support pursuing technical,SC/ST category,Not Specified,For students in need of financial support pursuing technical education.,International,Not Specified,"INR 1,000-5,000/month",Full course,Varying dates,https://www.iocl.com
204,Uttar Pradesh,L'Oréal India For Young Women in Science,Women,"INR 300,000",UG/PG,Young women pursuing careers in science,Female category,Not Specified,For young women pursuing careers in science and technology.,International,Not Specified,"INR 2,50,000/year",Full course,Varying dates,https://www.loreal.com
205,Uttar Pradesh,Google India Women in Tech Scholarship,Women,"INR 300,000",UG/PG,Women in technology pursuing technical degree,Female category,Not Specified,For women in technology pursuing technical degrees.,International,Not Specified,"INR 1,50,000/year",Full course,Varying dates,https://www.google.com
206,Uttar Pradesh,Shiksha Foundation Scholarship,All,"INR 100,000",Class 9-12/UG/PG,Class 9-12/ug/pg,All category,Not Specified,Scholarship for students from economically disadvantaged backgrounds.,NGO,Not Specified,Varies,Full course,Varying dates,https://www.shikshafoundation.org
207,Telangana,Telangana Pre-Matric Scholarship,SC/ST/OBC/Minority,"INR 100,000",Enrolled in Class 9-10,Enrolled in class 9-10,Minority category,Not Specified,Aid for school students from backward categories in Telangana.,Private,Not Specified,"Up to INR 1,000/month",Annual,Varying dates,https://tsche.ac.in
208,Telangana,Telangana Post-Matric Scholarship,SC/ST/OBC/Minority,"INR 200,000",10th pass,10th pass,Minority category,Not Specified,Financial support for economically backward students.,Private,Not Specified,"Up to INR 5,000/month",Annual,Varying dates,https://tsche.ac.in
209,Telangana,Telangana EBC (Economically Backward Classes) Scholarship,EBC Students,"INR 200,000",UG/PG,Ug/pg,OBC category,Not Specified,Scholarships for students from economically backward classes.,Private,Not Specified,Varies,Full course,Varying dates,https://telanganaepass.cgg.gov.in
210,Telangana,Telangana Minority Welfare Scholarship,Minority Students,"INR 100,000",UG/PG,Ug/pg,Minority category,Not Specified,Aid for students from minority communities in Telangana.,NGO,Not Specified,"Up to INR 10,000/year",Full course,Varying dates,https://telanganaepass.cgg.gov.in
